ENTRADAS.CSV
165215,29.03.2018
223344,29.03.2018
987654,29.03.2018
887788,29.03.2018
666666,29.03.2018
165215,16.03.2018
165215,18.03.2018
223344,18.03.2018
987654,18.03.2018
223344,18.03.2018
987654,18.03.2018
165215,3.03.2018
223344,3.03.2018
987654,3.03.2018
887788,3.03.2018
165215,3.03.2018
165215,8.03.2018
223344,8.03.2018
987654,8.03.2018
165215,8.03.2018
165215,3.03.2018
223344,3.03.2018
165215,6.03.2018
223344,6.03.2018
987654,6.03.2018
165215,6.03.2018
223344,6.03.2018
887788,6.03.2018
165215,4.03.2018
165215,13.03.2018
223344,13.03.2018
165215,13.03.2018
